mu,gamma,d0,beta,alpha_mean,T_mean,amplitude_obs,amplitude_theo,erreur_relative
0.0,0.0,3.2,0.2,1.9406152777846502,-3.8812305555693003,1.3831069725622633,1.3930596820612713,0.0071444961240147336
0.0,0.0,3.2,0.4,1.3888157285550922,-2.7776314571101843,1.1641052412599762,1.1784802622679313,0.012197931071235008
0.0,0.0,3.2,0.5,1.2187649103253828,-2.4375298206507656,1.0873263152408104,1.1039768613179277,0.015082332484070302
0.0,0.0,3.2,0.6,1.0875093782627547,-2.1750187565255095,1.0238728686303855,1.042837177253839,0.018185301633945588
0.0,0.0,3.4,0.2,1.5335554123635333,-3.0671108247270666,1.2255143393003634,1.2383680439851206,0.010379551335476531
0.0,0.0,3.4,0.4,1.1014594946211331,-2.2029189892422663,1.0308994146072115,1.0495044042885828,0.01772740505456282
0.0,0.0,3.4,0.5,0.9686930530946988,-1.9373861061893975,0.9626526957691272,0.9842220547695011,0.021915134796918718
0.0,0.0,3.4,0.6,0.8664388525246821,-1.7328777050493642,0.9062411689044682,0.9308269723878236,0.02641286105008993
0.0,0.0,3.6,0.2,1.127257862477744,-2.254515724955488,1.0437409423918311,1.0617240048514227,0.016937605608821217
0.0,0.0,3.6,0.4,0.81552689294075,-1.6310537858815,0.8769495183082493,0.9030652761239079,0.028919014501090468
0.0,0.0,3.6,0.5,0.7203597020435495,-1.440719404087099,0.818422782888147,0.8487400674196721,0.03572034088563222
0.0,0.0,3.6,0.6,0.6474160907387937,-1.2948321814775874,0.7700252239245822,0.804621706604286,0.04299720277956462
0.0,0.0,3.8,0.2,0.7227193566498502,-1.4454387132997004,0.8207149299979992,0.8501290235310462,0.03459956397074219
0.0,0.0,3.8,0.4,0.5329795747538082,-1.0659591495076164,0.6870587510238293,0.730054501221524,0.058893890970817174
0.0,0.0,3.8,0.5,0.4762180355262507,-0.9524360710525014,0.6400433147877618,0.6900855276893225,0.07251595765110701
0.0,0.0,3.8,0.6,0.4333972091246659,-0.8667944182493318,0.6010982036151024,0.658329103962954,0.08693357167917667
0.0,0.1,3.2,0.2,1.9406152777846502,-3.8812305555693003,1.3831069725622633,1.3930596820612713,0.0071444961240147336
0.0,0.1,3.2,0.4,1.3888157285550922,-2.7776314571101843,1.1641052412599762,1.1784802622679313,0.012197931071235008
0.0,0.1,3.2,0.5,1.2187649103253828,-2.4375298206507656,1.0873263152408104,1.1039768613179277,0.015082332484070302
0.0,0.1,3.2,0.6,1.0875093782627547,-2.1750187565255095,1.0238728686303855,1.042837177253839,0.018185301633945588
0.0,0.1,3.4,0.2,1.5335554123635333,-3.0671108247270666,1.2255143393003634,1.2383680439851206,0.010379551335476531
0.0,0.1,3.4,0.4,1.1014594946211331,-2.2029189892422663,1.0308994146072115,1.0495044042885828,0.01772740505456282
0.0,0.1,3.4,0.5,0.9686930530946988,-1.9373861061893975,0.9626526957691272,0.9842220547695011,0.021915134796918718
0.0,0.1,3.4,0.6,0.8664388525246821,-1.7328777050493642,0.9062411689044682,0.9308269723878236,0.02641286105008993
0.0,0.1,3.6,0.2,1.127257862477744,-2.254515724955488,1.0437409423918311,1.0617240048514227,0.016937605608821217
0.0,0.1,3.6,0.4,0.81552689294075,-1.6310537858815,0.8769495183082493,0.9030652761239079,0.028919014501090468
0.0,0.1,3.6,0.5,0.7203597020435495,-1.440719404087099,0.818422782888147,0.8487400674196721,0.03572034088563222
